hospital_sample_size,strategy,p05,p25,median,p75,p95
40,N1,497.0,515.0,529.0,542.0,560.0
40,N2,130.0,146.0,159.0,171.0,189.0
40,N3,201.0,221.0,236.0,251.0,274.0
40,N4,201.0,221.0,236.0,251.0,274.0
40,N5,201.0,221.0,236.0,251.0,274.0
80,N1,1015.0,1039.0,1057.0,1073.0,1099.0
80,N2,278.0,300.0,317.0,334.0,358.0
80,N3,427.95000000000005,454.0,473.0,492.0,520.0
80,N4,427.95000000000005,454.0,473.0,492.0,520.0
80,N5,427.95000000000005,454.0,473.0,492.0,520.0
120,N1,1537.0,1565.0,1586.0,1605.0,1634.0
120,N2,433.0,458.0,476.0,496.0,522.0
120,N3,664.0,691.0,711.0,729.0,757.0
120,N4,664.0,691.0,711.0,729.0,757.0
120,N5,664.0,691.0,711.0,729.0,757.0
160,N1,2061.0,2092.75,2114.0,2135.0,2165.0
160,N2,587.0,615.0,635.0,656.0,683.0
160,N3,906.0,930.0,948.0,964.0,987.0
160,N4,906.0,930.0,948.0,964.0,987.0
160,N5,906.0,930.0,948.0,964.0,987.0
