hospital_sample_size,strategy,mean,p05,p25,median,p75,p95
40,N1,158.6566,140,151,158,166,178
40,N2,158.9606,130,146,158,171,189
40,N3,236.4568,201,221,236,251,273
40,N4,236.4568,201,221,236,251,273
40,N5,236.4568,201,221,236,251,273
80,N1,317.5316,292,307,317,328,343
80,N2,318.0884,279,301,318,334,358
80,N3,473.5384,429,454,474,492,518
80,N4,473.5384,429,454,474,492,518
80,N5,473.5384,429,454,474,492,518
120,N1,476.356,447,464,476,488,506
120,N2,475.8778,431,457,476,494,521
120,N3,710.0374,663,691,710,730,756
120,N4,710.0374,663,691,710,730,756
120,N5,710.0374,663,691,710,730,756
160,N1,635.0176,604,623,635,648,666
160,N2,635.0144,588,616,635,655,683
160,N3,946.017,905,930,947,963,984
160,N4,946.017,905,930,947,963,984
160,N5,946.017,905,930,947,963,984
