hospital_sample_size,strategy,estimand,target_parameter,observation_parameter,reference_target_discrepancy
40,N1,national,0.8783980078854534,0.8783980078854534,0.0
40,N1,easy,0.9480037140204272,0.9480037140204272,0.0
40,N1,hard,0.7367758186397985,0.7367758186397985,0.0
40,N2,national,0.8783980078854534,0.8783980078854534,0.0
40,N2,easy,0.9480037140204272,0.948003714020427,-1.1102230246251565e-16
40,N2,hard,0.7367758186397985,0.7367758186397985,0.0
40,N3,national,0.8783980078854534,0.8418798188716191,-0.0365181890138343
40,N3,easy,0.9480037140204272,0.9424367020125516,-0.005567012007875571
40,N3,hard,0.7367758186397985,0.7109859154929578,-0.02578990314684071
40,N4,national,0.8783980078854534,0.8418798188716191,-0.0365181890138343
40,N4,easy,0.9480037140204272,0.9424367020125516,-0.005567012007875571
40,N4,hard,0.7367758186397985,0.7109859154929578,-0.02578990314684071
40,N5,national,0.8783980078854534,0.8418798188716191,-0.0365181890138343
40,N5,easy,0.9480037140204272,0.9424367020125516,-0.005567012007875571
40,N5,hard,0.7367758186397985,0.7109859154929578,-0.02578990314684071
80,N1,national,0.8783980078854534,0.8783980078854534,0.0
80,N1,easy,0.9480037140204272,0.9480037140204272,0.0
80,N1,hard,0.7367758186397985,0.7367758186397985,0.0
80,N2,national,0.8783980078854534,0.8783980078854534,0.0
80,N2,easy,0.9480037140204272,0.948003714020427,-1.1102230246251565e-16
80,N2,hard,0.7367758186397985,0.7367758186397985,0.0
80,N3,national,0.8783980078854534,0.8418798188716191,-0.0365181890138343
80,N3,easy,0.9480037140204272,0.9424367020125516,-0.005567012007875571
80,N3,hard,0.7367758186397985,0.7109859154929578,-0.02578990314684071
80,N4,national,0.8783980078854534,0.8418798188716191,-0.0365181890138343
80,N4,easy,0.9480037140204272,0.9424367020125516,-0.005567012007875571
80,N4,hard,0.7367758186397985,0.7109859154929578,-0.02578990314684071
80,N5,national,0.8783980078854534,0.8418798188716191,-0.0365181890138343
80,N5,easy,0.9480037140204272,0.9424367020125516,-0.005567012007875571
80,N5,hard,0.7367758186397985,0.7109859154929578,-0.02578990314684071
120,N1,national,0.8783980078854534,0.8783980078854534,0.0
120,N1,easy,0.9480037140204272,0.9480037140204272,0.0
120,N1,hard,0.7367758186397985,0.7367758186397985,0.0
120,N2,national,0.8783980078854534,0.8783980078854536,2.220446049250313e-16
120,N2,easy,0.9480037140204272,0.948003714020427,-1.1102230246251565e-16
120,N2,hard,0.7367758186397985,0.7367758186397986,1.1102230246251565e-16
120,N3,national,0.8783980078854534,0.8418798188716192,-0.03651818901383419
120,N3,easy,0.9480037140204272,0.9424367020125514,-0.005567012007875793
120,N3,hard,0.7367758186397985,0.7109859154929578,-0.02578990314684071
120,N4,national,0.8783980078854534,0.8418798188716192,-0.03651818901383419
120,N4,easy,0.9480037140204272,0.9424367020125514,-0.005567012007875793
120,N4,hard,0.7367758186397985,0.7109859154929578,-0.02578990314684071
120,N5,national,0.8783980078854534,0.8418798188716192,-0.03651818901383419
120,N5,easy,0.9480037140204272,0.9424367020125514,-0.005567012007875793
120,N5,hard,0.7367758186397985,0.7109859154929578,-0.02578990314684071
160,N1,national,0.8783980078854534,0.8783980078854534,0.0
160,N1,easy,0.9480037140204272,0.9480037140204272,0.0
160,N1,hard,0.7367758186397985,0.7367758186397985,0.0
160,N2,national,0.8783980078854534,0.8783980078854534,0.0
160,N2,easy,0.9480037140204272,0.948003714020427,-1.1102230246251565e-16
160,N2,hard,0.7367758186397985,0.7367758186397985,0.0
160,N3,national,0.8783980078854534,0.8418798188716191,-0.0365181890138343
160,N3,easy,0.9480037140204272,0.9424367020125516,-0.005567012007875571
160,N3,hard,0.7367758186397985,0.7109859154929578,-0.02578990314684071
160,N4,national,0.8783980078854534,0.8418798188716191,-0.0365181890138343
160,N4,easy,0.9480037140204272,0.9424367020125516,-0.005567012007875571
160,N4,hard,0.7367758186397985,0.7109859154929578,-0.02578990314684071
160,N5,national,0.8783980078854534,0.8418798188716191,-0.0365181890138343
160,N5,easy,0.9480037140204272,0.9424367020125516,-0.005567012007875571
160,N5,hard,0.7367758186397985,0.7109859154929578,-0.02578990314684071
