hospital_sample_size,strategy,estimand,target_parameter,reference_parameter,reference_target_discrepancy,mean_estimate,bias,bias_mcse,relative_bias_percent,empirical_sd,empirical_variance,rmse,rmse_mcse,mean_estimated_se,se_to_esd_ratio,target_coverage,target_coverage_mcse,reference_coverage,mean_interval_width,mean_half_width,mean_positive_cases,mean_hard_positive_cases,mean_observed_patients,mean_observed_priority_share,mean_observed_hard_share,non_estimable_rate,non_estimable_mcse,replications_estimable,pr_bias_pass,pr_precision_pass,pr_point_estimation_pass,interval_validity_pass,reference_interval_validity_pass,variance_method_compatible,full_evidential_pass
40,N1,easy,0.9480037140204272,0.9480037140204272,0.0,0.9484904730866086,0.0004867590661814985,0.00016365455239718984,0.05134569189789166,0.01157212437721021,0.0001339140626016228,0.011581200895313592,0.00011175387037021764,0.011593159665590857,1.0018177551238623,0.9572,0.0028624520956690245,0.9572,0.0466661392764862,0.0233330696382431,323.1208,528.6274,2558.0,0.24498741204065672,0.20665652853792021,0.0,0.0,5000,True,True,True,True,True,True,True
40,N1,hard,0.7367758186397985,0.7367758186397985,0.0,0.7366671413300431,-0.00010867730975540468,0.00046533192269294286,-0.014750390418083986,0.03290393580387542,0.0010826689913855548,0.03290082473654624,0.0003322249587035135,0.033129075937722234,1.0068423466174006,0.9534,0.0029808871162793123,0.9534,0.12947921984276972,0.06473960992138486,158.6212,528.6274,2558.0,0.24498741204065672,0.20665652853792021,0.0,0.0,5000,True,False,False,True,True,True,False
40,N1,national,0.8783980078854534,0.8783980078854534,0.0,0.878744285223876,0.00034627733842280495,0.00019772755471585482,0.039421462174805036,0.013981449476701506,0.00019548092946955681,0.01398433914344071,0.0001368828107190148,0.01408925008900875,1.007710260119087,0.9548,0.0029379230759160463,0.9548,0.055455659517552124,0.027727829758776062,481.742,528.6274,2558.0,0.24498741204065672,0.20665652853792021,0.0,0.0,5000,True,True,True,True,True,True,True
40,N2,easy,0.9480037140204272,0.948003714020427,-1.1102230246251565e-16,0.9477698804452075,-0.00023383357521964855,0.00021711248869737794,-0.02466589231259172,0.01535217130382036,0.00023568916374184536,0.015352416879761863,0.0001589026698834461,0.014739060074198307,0.9600635494817934,0.9414,0.0033216273120264404,0.9414,0.06027484982759858,0.03013742491379929,323.2464,158.914,2561.2828,0.24496215638141147,0.20661240432773684,0.0,0.0,5000,True,False,False,True,True,True,False
40,N2,hard,0.7367758186397985,0.7367758186397985,0.0,0.7361634936613681,-0.0006123249784303556,0.0007700505782859398,-0.08310872356815426,0.05445079857626105,0.002964889465592552,0.05444879640156101,0.0005273409017608795,0.05184239436783951,0.9520961257387559,0.9174,0.0038929998715643444,0.9174,0.20150840082540802,0.10075420041270401,158.914,158.914,2561.2828,0.24496215638141147,0.20661240432773684,0.0,0.0,5000,True,False,False,False,False,True,False
40,N2,national,0.8783980078854534,0.8783980078854534,0.0,0.8782077730781546,-0.00019023480729877637,0.00033581989187666514,-0.021657017159763838,0.02374605228033231,0.0005638749989002752,0.023744439626624238,0.00023107362548680465,0.02302810864970722,0.9697657689729031,0.9248,0.003729476102618169,0.9248,0.09127661805138997,0.04563830902569498,482.1604,158.914,2561.2828,0.24496215638141147,0.20661240432773684,0.0,0.0,5000,True,False,False,False,False,True,False
40,N3,easy,0.9480037140204272,0.9424367020125516,-0.005567012007875571,0.9423981367491129,-0.005605577271314283,0.00023516537801196018,-0.591303302762535,0.016628703349255487,0.00027651377507754066,0.017546537232947145,0.00018984572034892245,0.015895404251245592,0.9559016068415985,0.9186,0.003867144683096303,0.9376,0.06481924500374203,0.032409622501871016,308.627,236.3258,2542.8858,0.4930348275050767,0.29084537472905914,0.0,0.0,5000,True,False,False,False,True,True,False
40,N3,hard,0.7367758186397985,0.7109859154929578,-0.02578990314684071,0.7104667328041182,-0.0263090858356802,0.0006618559537379196,-3.5708400262444586,0.04680028330567729,0.002190266517491656,0.053684229171120146,0.000534458947306963,0.04494803295154194,0.9604222405655682,0.8896,0.004431971119039473,0.9274,0.17487018787527353,0.08743509393763677,236.3258,236.3258,2542.8858,0.4930348275050767,0.29084537472905914,0.0,0.0,5000,True,False,False,False,True,True,False
40,N3,national,0.8783980078854534,0.8418798188716191,-0.0365181890138343,0.8419448166363591,-0.03645319124909436,0.00036632247836470986,-4.149962878086126,0.02590291085527487,0.0006709607907763167,0.04471757764974765,0.00035089656802430783,0.02491038368028983,0.9616827938554665,0.6352,0.0068076568656183015,0.928,0.09809656744233007,0.049048283721165035,544.9528,236.3258,2542.8858,0.4930348275050767,0.29084537472905914,0.0,0.0,5000,False,False,False,False,True,True,False
40,N4,easy,0.9480037140204272,0.9424367020125516,-0.005567012007875571,0.9479236309551973,-8.008306522994693e-05,0.00023463969536179272,-0.008447547625137398,0.016591531972586934,0.00027527893319737447,0.01659006602482557,0.0001710994279724535,0.015770009329723052,0.9504854256845463,0.9296,0.0036178402397010296,0.914,0.06493269726031733,0.03246634863015867,308.627,236.3258,2542.8858,0.4930348275050767,0.29084537472905914,0.0,0.0,5000,True,False,False,True,False,True,False
